sites,canopy,temperature,velocity,pH,dissolved oxygen,total dissolved solids,specific conductivity,width,turbidity,depth
ARBP01,5,19.8,0.1,4.8,95.5,11.4,16.3,205.8,2.9,11.9
BB01,3,21.5,0,5.5,9.2,35.2,51.1,310,2.7,21.4
BC01,7,19.4,0.1,5.2,73.3,10,13.3,69.5,0.7,11.6
BRSF01,6,19.8,0.2,4.4,88.3,9.1,13.8,72,0.9,12.4
CB01,6,21.5,0.1,5.1,25.5,9.3,13.7,73.3,3,10.7
CCR01,5,17.5,0.1,8.6,65,33.7,48.4,220,4.5,12.7
EAFB01,6,20.8,0.1,5.6,76.9,10.7,16.3,539.5,1.8,13.4
EAFB02,6,21.6,0.1,5.1,96.6,9.3,14.6,,1.2,8.8
JB01,5,18.7,0.1,6.7,76.2,45,65.5,79.6,9.5,4.8
LCMA01,6,28,0.2,6.5,79.5,26.8,38.5,36.5,1.9,6.3
LCMA02,6,22.5,0.1,4.9,86.6,12.6,13.7,78,1.2,7.7
LCWMA03,4,18.5,0.1,7.6,78.6,32.7,83.3,82.5,2.4,9.3
LTSF01,6,19.1,0.1,5.8,76.6,7.3,11.3,170.6,2.8,11.5
LTSF02,6,23.4,0.1,5.1,86.7,10.7,15.2,141.6,6.9,9
PB01,2,20.4,0.1,5.6,85.6,25,35.5,58.5,4.2,11.8
RES01,3,17,0.1,6.1,52.3,30.8,44,200,7.3,15
RES03,4,16,0,4.9,11.1,73.9,69.3,100,5.9,
RES04,6,17.5,0.1,4.6,34.4,43.8,62.1,140,1.8,16.6
RES05,6,18.8,0,4.5,9.8,25.6,36.4,108.3,5,11.8
TRSF01,3,20,0.1,7.9,27,219,316,378,4.5,12
TSP01,7,21.5,0.1,4.9,85.7,7.1,11.2,132.2,2.8,7.6
TSP02,7,21.2,0.1,4.8,74.6,6,7.8,33.8,2.4,3.1
WB01,3,19.5,0.1,7.2,93.9,88.6,128.4,162.5,2.3,13
