sites,canopy,temperature,velocity,pH,dissolved oxygen,total dissolved solids,specific conductivity,width,turbidity,depth
ARBP01,1.015708424,1.294003531,0.041392685,0.67248432,1.368658111,1.054614434,1.211098234,2.313344653,0.578447168,11.9
BB01,0.713724379,1.33243846,0,0.737192643,0.308169645,1.546542663,1.7084209,2.491361694,0.563481085,21.38
BC01,1.376997983,1.286261549,0.041392685,0.717249322,1.05166557,0.997773725,1.122855015,1.840620619,0.120274624,11.625
BRSF01,1.18319964,1.29666519,0.068185862,0.639486489,1.221695907,0.959041392,1.139879086,1.857332496,0.269512944,12.4
CB01,1.18319964,1.33243846,0.041392685,0.710117365,0.529353287,0.968482949,1.136720567,1.865103975,0.599883072,10.67
CCR01,1.006853685,1.243038049,0.041392685,0.933487288,0.93774449,1.527629901,1.684845362,2.342422681,0.741151599,12.67
EAFB01,1.302969124,1.316762121,0.048950397,0.74893982,1.11265427,1.020391605,1.203541972,2.477969631,0.431630378,13.4375
EAFB02,1.095026663,1.333418049,0.041392685,0.710535301,1.407437457,0.966084623,1.163699904,,0.332813944,8.75
JB01,1.124955057,1.268851549,0.041392685,0.8204507,1.095053835,1.634971901,1.799270663,1.870264272,1.018513467,4.756
LCWMA01,1.18319964,1.447158031,0.079181246,0.809559715,1.100927584,1.428134794,1.58546073,1.562292864,0.462397998,6.25
LCWMA02,1.18319964,1.352182518,0.041392685,0.692846919,1.196024606,1.100370545,1.136720567,1.892094603,0.334453751,7.67
LCWMA03,0.860289032,1.26483065,0.020696343,0.877669066,1.09050016,1.442810633,1.916014184,1.916254456,0.530010662,9.315
LTSF01,1.225449787,1.279499887,0.046818784,0.76151366,1.113855757,0.85953709,1.04817306,2.230879601,0.523462843,11.48
LTSF02,1.18319964,1.369215857,0.041392685,0.705007959,1.197494702,1.029383778,1.181843588,2.151063253,0.895974732,9
PB01,0.601388076,1.308282711,0.050839825,0.751302752,1.232313903,1.395856738,1.54788113,1.767013053,0.668340287,11.75
RES01,0.713724379,1.230448921,0.041392685,0.783903579,0.808406282,1.488550717,1.643452676,2.301029996,0.916453949,15
RES03,0.857071948,1.204119983,0,0.685741739,0.339660094,1.868644438,1.840733235,2,0.836324116,
RES04,1.18319964,1.243038049,0.041392685,0.660865478,0.626749469,1.641474111,1.7930916,2.146128036,0.440909082,16.6
RES05,1.18319964,1.274157849,0,0.652246341,0.318402248,1.408239965,1.561101384,2.034427905,0.774516966,11.75
TRSF01,0.713724379,1.301029996,0.041392685,0.894869657,0.546400564,2.340444115,2.499687083,2.5774918,0.740362689,12
TSP01,1.570796327,1.33243846,0.041392685,0.691081492,1.182995558,0.851258349,1.049218023,2.121231455,0.583198774,7.6
TSP02,1.570796327,1.326335861,0.041392685,0.67669361,1.042590936,0.77815125,0.892094603,1.528273777,0.536558443,3.13
WB01,0.63883351,1.28024026,0.041392685,0.859896757,1.334652918,1.947158031,2.108350755,2.186915573,0.508650258,13
