sites,canopy,temp,velocity,pH,do,tds,width,turbidity,depth,sand,gravel,cobble,boulders,fpom,cpom,bryophytes,small_wood,large_wood
SH-ARBP01,5,19.8,0.1,4.8,95.5,11.37,205.8,2.9,11.9,7,2,1,1,4,4,5,3,3
NS-BB01,3,21.5,0,5.5,9.2,35.2,310,2.7,21.4,1,1,1,1,7,7,1,1,2
SH-BC01,7,19.4,0.1,5.2,73.3,9.95,69.5,0.7,11.6,7,2,1,1,6,5,3,5,2
SH-BRSF01,6,19.8,0.2,4.4,88.3,9.1,72,0.9,12.4,7,3,1,1,3,4,4,2,2
SH-CB01,6,21.5,0.1,5.1,25.5,9.3,73.3,3,10.7,2,1,1,1,7,6,6,5,3
NS-CCR01,5,17.5,0.1,8.6,65,33.7,220,4.5,12.7,7,1,1,1,1,4,1,1,1
SH-EAFB01,6,20.8,0.1,5.6,76.9,10.72,539.5,1.8,13.4,7,2,1,1,3,4,4,3,3
SH-EAFB02,6,21.6,0.1,5.1,96.6,9.25,,1.2,8.8,7,2,1,1,3,4,2,4,2
NS-JB01,5,18.7,0.1,6.7,76.2,44.96,79.6,9.5,4.8,7,1,1,1,3,3,3,3,2
NS-LCMA01,6,28,0.2,6.5,79.5,26.8,36.5,1.9,6.3,7,1,1,1,3,6,2,3,1
NS-LCMA02,6,22.5,0.1,4.9,86.6,12.6,78,1.2,7.7,7,1,1,1,6,6,3,3,2
NS-LCWMA03,4,18.5,0.1,7.6,78.6,32.65,82.5,2.4,9.3,7,3,2,2,7,6,3,4,1
SH-LTSF01,6,19.1,0.1,5.8,76.6,7.3,170.6,2.8,11.5,7,1,1,1,3,3,5,2,2
SH-LTSF02,6,23.4,0.1,5.1,86.7,10.7,141.6,6.9,9,7,2,1,1,3,3,3,3,3
NS-PB01,2,20.4,0.1,5.6,85.6,25.03,58.5,4.2,11.8,7,1,1,1,3,2,2,2,1
NS-RES01,3,17,0.1,6.1,52.3,30.8,200,7.3,15,7,1,1,1,1,6,1,2,1
NS-RES03,4,16,0,4.9,11.1,73.9,100,5.9,,1,1,1,1,7,7,6,2,1
NS-RES04,6,17.5,0.1,4.6,34.4,43.8,140,1.8,16.6,7,1,1,1,4,7,4,6,4
NS-RES05,6,18.8,0,4.5,9.8,25.6,108.3,5,11.8,2,1,1,1,7,7,6,6,6
NS-TRSF01,3,20,0.1,7.9,27,219,378,4.5,12,7,,,,,6,4,,
SH-TSP01,7,21.5,0.1,4.9,85.7,7.1,132.2,2.8,7.6,7,2,1,1,4,3,3,4,2
SH-TSP02,7,21.2,0.1,4.8,74.6,6,33.8,2.4,3.1,7,3,1,1,3,4,4,6,5
NS-WB01,3,19.5,0.1,7.2,93.9,88.5,162.5,2.3,13,7,,1,1,,,,,
